id	parity	herd	ys	sex	dam	bw	day115	adg115	bf115	lma115	lean115
DDSHXX518004008	2	15	184	2	DDSHXX516224804	1.5	185.65	611.37	16.43	35.54	51.93
DDSHXX515113101	4	15	151	1	DDUSWFD13006705	2.2	178.25	632.82	12.85	33.75	52.48
DDSHXX517201701	1	13	172	1	DDSHXX516174508	1.65	180.43	628.22	14.26	45.98	56.79
DDSHXX518075409	4	14	181	1	DDSHXX516067004	2.55	172.53	651.77	10.69	42.9	56.83
DDSHXX513025804	1	13	134	2	DDUSWFD13020511	1.18	217.95	522.23	6.56	42.15	57.98
DDSHXX515018611	1	17	154	1	DDSHXX513036202	1.32	178.75	635.97	16.57	38.36	52.99
DDSHXX516185905	1	11	162	1	DDSHXX515160806	1.6	166.33	681.78	12.25	44.75	57.01
DDSHXX518078601	5	14	181	1	DDSHXX515139902	1.8	152.91	740.3	17.6	37.66	52.35
DDSHXX517115101	4	11	171	1	DDSHXX515080604	1.4	171.97	660.58	17.15	40.58	53.66
DDSHXX518189808	3	14	182	2	DDSHXX516267402	1.25	173.74	654.71	14.48	40.84	54.69
DDSHXX518048902	2	16	184	2	DDSHXX516205604	1.1	196.65	579.2	13.49	44.5	56.48
DDSHXX518180802	2	16	182	2	DDSHXX517059312	1.9	191.54	590.48	11.17	44.52	57.3
DDSHXX517285702	1	17	173	2	DDSHXX516270606	1.7	182.03	622.42	14.7	42.77	55.38
