id	parity	herd	ys	sex	dam	bw	day115	adg115	bf115	lma115	lean115
DDSHXX516152104	3	14	162	2	DDSHXX514087114	2.4	181.04	621.96	9.56	44.25	57.75
DDSHXX517107107	1	12	171	1	DDSHXX516120104	1.45	177.54	639.57	10.69	48.58	59.06
DDSHXX516270602	5	15	163	2	DDSHXX514046608	1.85	178	635.67	11.46	45.86	57.72
DDSHXX516263405	1	13	163	1	DDSHXX515270002	1.9	170.87	661.91	9.62	46.35	58.56
DDSHXX517191003	1	13	172	1	DDSHXX516181302	1.75	181.51	623.93	11.28	43.49	56.85
DDSHXX516172608	4	12	162	2	DDSHXX514042006	1.4	165.23	687.53	12.61	44.82	56.91
DDSHXX518176014	3	16	182	2	DDSHXX516187408	1.7	186.55	607.34	10.09	42.28	56.79
DDSHXX514086908	2	14	142	2	DDUSWFD13021907	1.86	172.84	654.59	10.8	41.68	56.31
DDSHXX516255605	4	13	163	1	DDSHXX514113602	2.1	186.68	604.78	11.05	39.18	55.24
DDSHXX514106806	3	18	143	2	DDUSWFD13021206	1.18	182.6	623.33	12.8	50.81	59.2
DDSHXX516072904	2	12	161	2	DDSHXX514150408	1.88	180.63	626.25	14.21	48.24	57.7
DDSHXX516125210	6	17	162	2	DDUSWFD13002408	1.15	199.19	571.56	13.48	47.46	57.64
DDSHXX517196302	1	13	172	2	DDSHXX516152108	1.7	210.74	537.63	10.1	39.14	55.56
DDSHXX617102704	3	9	171	2	DDSHXX515175608	1.9	204.45	553.19	10.93	48.56	58.97
DDSHXX517186305	1	14	172	1	DDSHXX516170804	1.75	208.32	543.63	11.11	37.96	54.74
DDSHXX517305911	5	13	174	1	DDSHXX515110906	1.55	180.39	628.92	10.53	48.54	59.1
DDSHXX518081702	3	14	181	2	DDSHXX516163802	1.4	184.04	617.26	13.41	41.83	55.46
DDSHXX516079704	1	12	161	2	DDSHXX515098604	1.64	170.06	666.59	8.92	44.62	58.12
DDSHXX518150310	2	18	182	2	DDSHXX517018610	1.65	211.38	536.24	11.27	47.98	58.62
DDSHXX518074307	1	14	181	1	DDSHXX517090002	1.1	186.72	610	13.35	40.97	55.14
DDSHXX516098110	1	18	161	2	DDSHXX515104304	1.64	175.93	644.35	17.94	56.67	59.7
DDSHXX516095408	2	18	161	2	DDSHXX514150406	1.52	195.83	579.48	12.01	57.33	62.03
DDSHXX617108704	1	8	171	2	DDSHXX416030504	1.7	181.62	623.83	12.15	46.04	57.55
DDSHXX515268101	1	18	154	1	DDSHXX514181208	1.48	179.84	631.23	11	40.78	55.89
DDSHXX514054105	2	18	141	1	DDUSWFD13003806	1.32	179.24	634.23	12.62	43.34	56.33
DDSHXX518225304	2	13	183	2	DDSHXX517102404	1.75	195.58	579.05	10.03	44.96	57.87
DDSHXX518045002	2	18	184	2	DDSHXX516187408	1.6	187.37	605.22	14.17	43.12	55.7
DDSHXX518044303	1	18	184	1	DDSHXX517047004	1.45	200.94	565.09	15.46	39.2	53.71
DDSHXX517171504	1	17	172	2	DDSHXX516181304	1.4	214.16	530.44	6.18	35.07	55.33
DDSHXX618084803	1	5	181	1	DDSHXX417052506	1.6	175	648	11.78	44.98	57.26
DDSHXX516116912	4	16	161	2	DDSHXX513026010	2	182.54	619.04	12.49	41.76	55.75
DDSHXX516064107	6	13	161	1	DDUSWFD13000906	0.8	180.6	632.34	10.94	45	57.57
DDSHXX515217106	1	14	153	2	DDSHXX514108206	1.24	175.29	648.98	18.18	46.17	55.49
DDSHXX516072903	2	12	161	1	DDSHXX514150408	1.32	160.11	710.01	13.52	53.33	59.94
DDSHXX516219706	1	16	163	2	DDSHXX515236302	2	210.6	536.56	11.69	45.15	57.36
DDSHXX516019707	2	16	164	1	DDSHXX514101302	1.6	195.13	581.15	9.95	42.25	56.83
DDSHXX517182712	1	14	172	2	DDSHXX516141602	1.85	223.37	506.56	13.05	49.58	58.63
DDSHXX517097703	4	15	171	1	DDSHXX515041508	2.25	149.39	754.74	17.64	44.94	55.2
DDSHXX515078407	2	9	151	1	DDSHXX513024706	2.3	188.98	596.36	12.34	34.62	53
DDSHXX516085209	4	11	161	1	DDSHXX513002604	2.08	176.42	640.06	11.44	58.78	62.8
DDSHXX517250604	4	18	173	2	DDSHXX515175206	1.6	188.91	600.29	11.54	40.93	55.76
DDSHXX516295510	2	12	164	2	DDSHXX515142806	1.55	191.8	591.5	13.05	51.55	59.4
DDSHXX517118307	1	11	171	1	DDSHXX516126204	1.3	158.77	716.13	11.53	48.85	58.87
DDSHXX518188807	2	14	182	1	DDSHXX517018606	1.85	192.88	586.63	9.43	44.19	57.77
DDSHXX517151603	2	16	172	1	DDSHXX516067004	1.85	159.9	707.63	10.11	47.73	58.93
DDSHXX517215106	3	15	172	2	DDSHXX515274604	1.7	191.86	590.53	11.51	53.57	60.73
DDSHXX518207501	3	15	182	1	DDSHXX516253504	2.6	186.38	603.07	7.14	49.58	60.69
DDSHXX515080602	4	9	151	2	DDUSACS13001401	1.76	167.78	674.93	16.12	37.11	52.66
DDSHXX515161902	1	18	152	2	DDSHXX514078704	1.5	171.99	659.92	14.39	49.67	58.19
DDSHXX515189512	1	17	152	2	DDSHXX514080506	1.16	218.05	522.08	14.7	36.95	53.09
DDSHXX517015204	3	18	174	2	DDSHXX515041202	1.3	203.95	557.49	9.11	44.39	57.97
DDSHXX513017104	1	11	134	2	DDUSACS13000706	1.06	166.93	682.56	11.95	46.67	57.87
DDSHXX517269003	2	16	173	1	DDSHXX516141608	1.6	170.29	665.92	9.94	43.93	57.49
DDSHXX515154508	1	11	152	2	DDSHXX514078606	1.8	173.97	650.69	12.26	43.09	56.35
DDSHXX517048103	2	17	174	1	DDSHXX515228304	1.65	195.19	580.72	12.08	43.14	56.44
DDSHXX517239605	2	11	173	1	DDSHXX516097802	1.4	187.59	605.58	11.27	40.66	55.75
DDSHXX517246008	2	11	173	2	DDSHXX516137002	1.75	178.9	633.04	11.65	43.16	56.59
DDSHXX515176502	1	18	152	2	DDSHXX514079814	2.5	188.47	596.91	16.44	49.2	57.29
DDSHXX516269201	2	15	163	1	DDSHXX515162012	2.05	160.96	701.73	12.18	45.73	57.42
DDSHXX517074609	1	13	171	1	DDSHXX516091104	1.2	174.38	652.6	11.96	45.83	57.53
DDSHXX518150602	1	18	182	2	DDSHXX517158704	1.8	187.75	602.93	12.92	47.45	57.84
DDSHXX518113006	1	15	181	2	DDSHXX517116804	1.35	195.04	582.7	11.52	47.98	58.53
DDSHXX518090001	3	14	181	1	DDSHXX516162106	1.65	169.77	667.67	14.97	35.38	52.38
DDSHXX518018703	5	12	184	1	DDSHXX515161804	2.1	184.98	610.34	13.95	45.76	56.81
DDSHXX516120110	1	17	161	2	DDSHXX515120502	1.55	179.45	632.21	13.65	41.43	55.22
DDSHXX517102404	4	12	171	2	DDSHXX515002206	1.65	168.96	670.87	10.27	49.05	59.39
DDSHXX617105604	3	9	171	2	DDSHXX515169504	1.6	172.84	656.1	10.37	43.06	57
DDSHXX515232604	2	13	153	2	DDSHXX514068710	1.56	175.91	644.88	15.85	46.95	56.62
DDSHXX518127909	4	11	181	1	DDSHXX516099204	1.5	215.98	525.51	12.87	50.95	59.23
DDSHXX516189503	2	11	162	1	DDSHXX515050902	2	183.27	616.58	10.46	38.71	55.26
DDSHXX515257002	3	11	153	2	DDSHXX513004602	1.72	184.67	613.42	11.58	49.23	59
DDSHXX517049906	1	17	174	2	DDSHXX516078304	1.6	183.35	618.49	13.18	48.76	58.26
DDSHXX518096211	2	14	181	1	DDSHXX516285406	1.15	207.79	547.91	11.02	40.3	55.69
DDSHXX516232905	2	17	163	1	DDSHXX515128806	1.85	159.73	708.38	11.87	48.47	58.6
DDSHXX517069302	1	14	171	2	DDSHXX516072806	1.4	207.95	546.29	11.86	42.5	56.26
DDSHXX518200515	4	14	182	1	DDSHXX516125304	2.1	177.36	636.56	9.44	45.82	58.41
DDSHXX516080203	2	12	161	1	DDSHXX514127504	1.84	179.96	628.81	16.4	50.14	57.68
DDSHXX513029105	1	13	134	1	DDUSWFD13020506	1.62	203.72	556.55	8.34	38.41	55.89
DDSHXX518151902	4	18	182	2	DDSHXX516107702	1.65	169.81	667.51	13.78	53.96	60.09
DDSHXX517302003	2	14	174	1	DDSHXX516178104	1.6	179.3	632.46	9.51	43.61	57.52
DDSHXX516063505	3	13	161	1	DDSHXX514067206	1	200.94	567.33	16.02	36.99	52.64
DDSHXX517194102	2	13	172	2	DDSHXX516083012	1.75	173.4	653.11	12.17	54.88	61.02
DDSHXX514190803	1	13	144	1	DDSHXX513004602	1.66	173.02	655.07	11.22	40.07	55.53
DDSHXX515162014	1	18	152	2	DDSHXX514076308	1.1	195.26	583.32	11.11	53.47	60.83
DDSHXX518239103	1	11	183	1	DDSHXX517268704	1.75	173.66	652.14	12.38	45.66	57.32
DDSHXX517291602	2	14	173	2	DDSHXX516177002	1.35	228.87	496.57	12.41	45.32	57.18
DDSHXX514049107	2	10	141	1	DDUSWFD13000905	1.64	182.25	622	14.77	44.01	55.84
DDSHXX515202305	2	17	153	1	DDSHXX514042106	1.48	183.37	619.08	11.93	36.94	54.05
DDSHXX517268002	3	16	173	2	DDSHXX516041208	1.8	188.49	600.56	11.94	43.38	56.58
DDSHXX518129115	3	12	181	1	DDSHXX516212102	2	160.26	705.1	11.14	43.64	56.96
DDSHXX518166901	1	16	182	1	DDSHXX517163416	1.8	192.64	587.62	8.23	40.61	56.79
DDSHXX516261902	1	13	163	2	DDSHXX515273104	1.3	196.59	578.36	17	46.3	55.96
DDSHXX516123303	6	17	161	1	DDUSWFD12022804	1.95	170.7	662.27	13.07	46.88	57.56
DDSHXX518232009	3	13	183	1	DDSHXX516271208	1.75	164.63	687.91	13.29	44.73	56.64
DDSHXX518138106	1	11	182	2	DDSHXX517131904	1.55	187.84	603.97	11.73	47.26	58.18
DDSHXX516126508	1	17	162	2	DDSHXX515154804	1.3	187.09	607.73	13.07	45.71	57.1
DDSHXX514064303	2	16	142	1	DDUSACS13000406	1.5	176.81	641.93	15.02	46.78	56.84
DDSHXX517157702	1	17	172	2	DDSHXX516142204	1.8	192.65	587.59	16.7	41.65	54.24
DDSHXX515208101	1	15	153	1	DDSHXX514095008	1.64	171.16	662.3	14.58	44.78	56.21
DDSHXX518240911	1	11	183	1	DDSHXX517266308	1.85	168.17	672.83	9.17	44.74	58.08
DDSHXX516281610	3	12	164	2	DDSHXX514190704	1.5	225.32	503.73	12.25	47.33	58.02
DDSHXX517070708	5	14	171	2	DDSHXX514061802	1.15	204.29	557.3	12.96	44.11	56.51
DDSHXX516201302	5	11	162	2	DDSHXX513011214	1.75	171.66	659.73	13.21	48.9	58.3
DDSHXX516187602	1	11	162	2	DDSHXX515170610	1.8	200.11	565.69	10.22	42.52	56.84
DDSHXX516172201	1	12	162	1	DDSHXX515155204	2.05	165.32	683.22	11.26	43.51	56.87
DDSHXX516145508	4	14	162	2	DDSHXX514059006	1.45	175.82	645.83	9.42	38.69	55.62
DDSHXX518134504	3	11	182	2	DDSHXX516186106	1.6	204.94	553.33	9.26	41.31	56.7
DDSHXX518019210	2	11	184	2	DDSHXX516148602	1.25	230.72	493.02	12.2	38.87	54.72
DDSHXX518077408	2	14	181	2	DDSHXX516269802	1.75	179.2	631.98	10.83	45.57	57.83
DDSHXX515053404	4	16	151	2	DDUSWFD12021905	2.1	170.93	660.5	8.81	38.33	55.69
DDSHXX517100607	5	12	171	1	DDSHXX514110208	1.85	166.99	677.59	12.08	44.64	57.03
DDSHXX518228801	4	12	183	1	DDSHXX516145802	2.3	175.72	641.36	7.9	47.49	59.61
DDSHXX517234101	3	12	173	1	DDSHXX515229012	1.75	182.65	620.04	10.96	43.56	56.99
DDSHXX515252901	5	11	153	1	DDUSWFD13020304	1.8	160.5	705.3	13.71	38.56	54.07
DDSHXX518158005	2	16	182	1	DDSHXX516293202	1	204.07	558.63	9.18	45.79	58.49
DDSHXX518096302	2	15	181	2	DDSHXX516271208	1.75	173.3	653.49	7.99	50.65	60.82
DDSHXX518096305	2	14	181	1	DDSHXX516271208	1.7	199.21	568.75	9.91	41.41	56.52
DDSHXX517265201	1	18	173	1	DDSHXX516244506	2	173.76	650.32	10.51	43.93	57.3
DDSHXX517279607	2	17	173	1	DDSHXX516126502	1.45	162.91	697.01	12.56	42.7	56.1
DDSHXX618180103	2	2	183	1	DDSHXX417054902	1.9	192.38	587.9	9.16	42.29	57.12
DDSHXX516073706	1	12	161	2	DDSHXX515058704	1.36	183.17	620.41	12.96	42.74	55.97
DDSHXX515177906	1	16	152	2	DDSHXX514087110	1.9	201.87	560.26	9.7	44.83	57.93
DDSHXX517128906	4	18	171	2	DDSHXX515088006	1.2	177.55	640.95	10.37	47.86	58.89
DDSHXX516141902	2	14	162	2	DDSHXX515041508	2.1	178.59	632.17	10.02	46.6	58.52
DDSHXX515084702	1	6	151	2	DDSHXX514046606	2.44	162.39	693.15	13.63	43.92	56.2
DDSHXX514122108	1	17	143	2	DDSHXX513004604	1.74	185.51	610.53	18.25	46.35	55.54
DDSHXX516196804	4	11	162	2	DDSHXX514043302	1.45	201.76	562.8	13.97	46.53	57.11
DDSHXX515228603	2	13	153	1	DDSHXX514048804	2.12	165.61	681.6	11.75	34.9	53.32
DDSHXX517131805	2	18	171	1	DDSHXX516041208	1.6	203.03	558.54	12.71	39.96	54.97
DDSHXX515261302	6	18	153	2	DDUSWFD12004205	1.8	192.79	587.17	10.44	39.43	55.55
DDSHXX518088902	3	14	181	2	DDSHXX516181304	1.8	196.92	574.85	11.87	46.99	58.02
DDSHXX514065706	2	16	142	2	DDUSACR13061105	1.85	184.76	612.42	13.22	51.9	59.48
DDSHXX516161407	1	13	162	1	DDSHXX515157006	1.65	188.33	601.87	9.72	43.35	57.34
DDSHXX517237103	1	11	173	1	DDSHXX516204904	1.5	179.46	632.45	9.68	45.36	58.15
DDSHXX517225614	1	12	172	2	DDSHXX516223008	1.55	173.87	652.5	14.48	41.74	55.05
DDSHXX516210701	3	16	163	1	DDSHXX514139106	1.75	156.74	722.53	11.88	46.01	57.63
DDSHXX517075302	1	13	171	2	DDSHXX516099204	1.55	187.55	604.91	11.52	47.72	58.43
DDSHXX517086705	5	13	171	1	DDSHXX514095006	1.4	167.04	680.08	18.6	45.69	55.16
DDSHXX617108803	1	9	171	1	DDSHXX416030502	1.35	181.74	625.34	13.74	37	53.44
DDSHXX515228204	2	13	153	2	DDSHXX514049902	1.52	160.13	708.67	19.65	49.51	56.29
DDSHXX518034702	1	18	184	2	DDSHXX517053702	1.2	221.35	514.12	13.25	44.23	56.46
DDSHXX517162303	4	14	172	1	DDSHXX515090014	1.7	192.33	589.09	9.71	44.22	57.69
DDSHXX618086807	1	6	181	1	DDSHXX417054102	1.4	179.54	632.73	10.2	36.4	54.45
DDSHXX518188205	1	14	182	1	DDSHXX517162902	1.95	174.58	647.55	12.02	43.04	56.42
DDSHXX517249306	2	18	173	2	DDSHXX516131406	1.1	223.68	509.21	9.38	38.67	55.62
DDSHXX516174504	4	12	162	2	DDSHXX513009008	2.1	192.38	586.86	10.99	43.3	56.88
DDSHXX517155802	6	16	172	2	DDSHXX514059008	2.35	188.49	597.64	9.84	46.48	58.53
DDSHXX517001305	5	11	174	1	DDSHXX514061910	1.85	216.08	523.65	NA	45.95	54.04
DDSHXX516216111	3	16	163	1	DDSHXX514150406	1.3	193.75	586.84	15.15	44.55	55.92
DDSHXX516093107	3	18	161	1	DDSHXX514063910	2	165.38	683.27	14.81	56.97	60.91
DDSHXX515094601	2	7	151	1	DDSHXX513019306	1.1	188.49	604.28	14.46	40.96	54.75
DDSHXX518248701	1	11	183	1	DDSHXX517276106	1.95	174.58	647.55	8.84	36.42	54.93
DDSHXX516223009	1	16	163	1	DDSHXX515232802	2	160.14	705.63	13.3	45.28	56.85
DDSHXX517300509	3	14	174	1	DDSHXX516060704	1.35	178.65	636.16	8.98	40.36	56.43
DDSHXX516263008	1	15	163	2	DDSHXX515270004	1.8	197.39	573.48	11.75	48.83	58.79
DDSHXX518249005	2	11	183	1	DDSHXX517126706	1.65	174.56	649.35	9.87	41.97	56.75
DDSHXX516117003	6	16	161	1	DDUSWFD13005104	2.3	154.9	727.57	12.17	41.29	55.68
DDSHXX515202317	2	17	153	1	DDSHXX514042106	1.08	178.21	639.25	12.79	39.85	54.9
DDSHXX517033109	3	18	174	1	DDSHXX515073802	1.6	156.55	724.37	10.88	44.55	57.41
DDSHXX516085003	2	11	161	1	DDSHXX514157704	2.84	162.15	691.71	14.48	55.53	60.46
DDSHXX517121103	4	11	171	1	DDSHXX515077502	1.8	194.3	582.6	12.46	47.84	58.15
DDSHXX517247210	2	18	173	2	DDSHXX516098804	1.85	195.61	578.45	8.52	43.54	57.84
DDSHXX517031501	2	18	174	1	DDSHXX515236302	1.3	175.05	649.53	8.52	47.26	59.3
DDSHXX516223004	1	16	163	2	DDSHXX515232802	1.7	169.87	666.98	15.26	43.76	55.57
DDSHXX514106107	3	18	143	1	DDUSWFD13002408	1.9	192.67	587.01	10.4	47.97	58.92
DDSHXX517293503	2	14	173	1	DDSHXX516181304	2.15	161.38	699.28	10.89	49.65	59.41
DDSHXX515232804	3	13	153	2	DDSHXX513019506	1.16	183.14	621.6	13.4	41.39	55.29
DDSHXX514112006	3	18	143	2	DDUSWFD13001006	1.62	170.63	664.48	20.37	39.88	52.26
DDSHXX517061714	2	14	171	2	DDSHXX515253710	1.4	209.22	542.97	9.69	44.66	57.87
DDSHXX518046908	2	16	184	2	DDSHXX516205202	1.5	197.6	574.39	13.36	40.64	55.01
DDSHXX516171712	1	12	162	2	DDSHXX515145602	1.05	201.66	565.06	12.18	41.53	55.77
DDSHXX516102503	3	18	161	1	DDSHXX514060512	2.2	170.37	662.09	11.87	58.84	62.68
DDSHXX618126306	4	2	182	2	DDSHXX516086706	1.8	194.54	581.89	10.64	50.91	59.99
DDSHXX514050007	2	18	141	1	DDUSWFD13004709	1.94	167.35	675.59	12.45	52.19	59.86
DDSHXX515053001	4	16	151	1	DDUSWFD12030105	2.1	179.41	629.28	10.81	36.11	54.12
DDSHXX517081607	6	13	171	1	DDSHXX513004604	1.25	197.75	575.22	16.35	40.3	53.83
DDSHXX516055111	2	14	161	1	DDSHXX514103902	1.2	211	539.34	18.53	30.94	49.39
DDSHXX517005001	3	10	174	1	DDSHXX515077508	1.9	154.48	732.13	12.66	48.18	58.21
DDSHXX515049914	4	16	151	2	DDUSWFD13002408	1.68	202.84	558.67	12.07	38.89	54.77
DDSHXX518148501	1	18	182	1	DDSHXX517140108	1.8	190.9	592.98	10.64	51.51	60.23
DDSHXX517100709	6	12	171	1	DDSHXX514059710	1.15	190.57	597.42	12.08	40.74	55.49
DDSHXX515255212	3	11	153	2	DDSHXX513024708	1.64	167.07	678.52	17.18	45.78	55.69
DDSHXX516094106	1	18	161	2	DDSHXX515107802	1.36	225.44	504.08	11.17	48.45	58.84
DDSHXX517092409	1	12	171	1	DDSHXX516112606	1.5	168.57	673.31	9.96	44.25	57.61
DDSHXX517314706	1	12	174	2	DDSHXX516257108	1.2	197.55	576.06	7.73	43.88	58.25
DDSHXX516215104	4	16	163	2	DDSHXX514079806	1.85	178.39	634.28	13.15	48.32	58.1
DDSHXX514063910	2	16	142	2	DDUSWFD13060011	2.1	162.74	693.74	14.63	50.07	58.27
DDSHXX516207911	2	18	163	1	DDSHXX515107808	1.2	179.33	634.58	13.29	43.86	56.3
DDSHXX517203002	2	15	172	2	DDSHXX516087106	1.5	177.5	639.44	11.63	47.23	58.2
DDSHXX518243804	5	12	183	2	DDSHXX516078304	1.8	179.46	630.78	10.64	50.21	59.72
DDSHXX516055107	2	14	161	1	DDSHXX514103902	0.6	189.85	602.58	11.41	32.86	52.63
DDSHXX515161805	2	18	152	1	DDSHXX513024204	2.6	178.18	630.82	12.73	45.06	56.96
DDSHXX518143303	3	18	182	1	DDSHXX516190004	1.35	167.28	679.4	10.4	41.53	56.39
DDSHXX516185113	1	11	162	1	DDSHXX515151202	0.95	186.27	612.28	12.42	40.23	55.17
DDSHXX516187306	4	11	162	2	DDSHXX514042102	1.6	198.06	572.55	12.38	45.9	57.42
DDSHXX515126501	1	13	152	1	DDSHXX514061302	1.52	164.49	689.89	11.63	43.59	56.77
DDSHXX517220005	3	15	172	1	DDSHXX515273102	1.9	175.4	644.81	11.3	42.57	56.49
DDSHXX516184501	1	11	162	1	DDSHXX515170304	1.9	165.47	683.51	13.66	43.7	56.1
DDSHXX515197704	1	17	153	2	DDSHXX514095006	1.4	212	535.85	12.62	44.26	56.69
DDSHXX516100509	6	18	161	1	DDUSWFD13020005	1.24	190.67	596.63	13.34	53.49	60.06
DDSHXX513026503	1	13	134	1	DDUSWFD12023207	1.82	186.41	607.16	10.66	41.59	56.32
DDSHXX517248709	2	18	173	1	DDSHXX516117802	1.95	214.65	526.67	13.17	39.57	54.65
DDSHXX518036901	3	18	184	1	DDSHXX516137002	1.3	191.82	592.74	8.84	36.6	55
DDSHXX518232803	4	12	183	1	DDSHXX516190402	2.35	196	574.74	8.24	40.56	56.77
DDSHXX516059305	2	13	161	1	DDSHXX514117006	1.2	174.14	653.5	13.98	41	54.93
DDSHXX518088109	3	14	181	1	DDSHXX516177506	0.95	176.83	644.97	12.07	32.36	52.21
DDSHXX515177304	5	13	152	2	DDUSWFD12030106	1.2	NA	416.35	8.12	49.68	60.39
DDSHXX516176004	3	12	162	2	DDSHXX514112006	1.5	176.57	642.8	15.53	41.39	54.54
DDSHXX514069406	2	16	142	2	DDUSWFD13021905	1.9	164.22	688.71	14.33	44.12	56.03
DDSHXX516112112	1	16	161	2	DDSHXX515128810	1.25	185.45	613.37	13.79	53.05	59.73
DDSHXX518035911	2	16	184	1	DDSHXX516244508	1.2	199.65	570	11.04	38.76	55.08
DDSHXX518020706	2	12	184	2	DDSHXX516192902	1.7	200.71	564.5	12.06	48.98	58.74
DDSHXX518173506	3	16	182	2	DDSHXX516205202	1.7	186.95	606.04	10.6	40.13	55.77
DDSHXX517253409	2	18	173	1	DDSHXX516136502	1.35	187.56	605.94	10.05	42.93	57.06
DDSHXX514148006	1	16	143	2	DDSHXX513024706	1.46	190.18	597.01	13.49	42.72	55.78
DDSHXX516261303	1	13	163	1	DDSHXX515218204	1.7	181.95	622.7	10.97	42.37	56.52
DDSHXX515266105	6	18	154	1	DDUSWFD12023207	1.36	201.84	563.02	14.58	41.79	55.03
DDSHXX516031207	3	15	164	1	DDSHXX514046608	1.52	197.44	574.76	15.82	38.82	53.43
DDSHXX516213101	1	18	163	1	DDSHXX515163702	1.85	168.08	673.19	11.68	42.18	56.2
DDSHXX514190804	1	13	144	2	DDSHXX513004602	1.66	187.68	603.9	12.04	44.05	56.81
DDSHXX618126604	4	2	182	2	DDSHXX516077608	1.4	194	585.57	12.3	43.5	56.5
DDSHXX518104001	1	15	181	1	DDSHXX517127002	1.75	164.92	686.7	10.13	46.55	58.46
DDSHXX515204504	2	15	153	2	DDSHXX514048802	1.6	186.67	607.49	15.59	46.52	56.54
DDSHXX516057005	1	14	161	1	DDSHXX515065604	1.6	164.68	688.61	11.22	41.58	56.12
DDSHXX517107605	1	12	171	1	DDSHXX516119004	2.05	173.1	652.51	12.59	42.77	56.11
DDSHXX514115711	3	18	143	1	DDUSWFD12022803	2.36	183.09	615.22	6.71	43.39	58.41
DDSHXX516211402	5	18	163	2	DDSHXX513024708	1.9	170.87	661.91	12.17	43.29	56.46
DDSHXX517089804	2	15	171	2	DDSHXX515266104	2.2	174.77	645.42	12.59	49.89	58.91
DDSHXX515120208	1	13	152	2	DDSHXX514059304	1.28	179.92	632.06	10.19	50.36	59.93
DDSHXX618174015	4	2	182	1	DDSHXX616005704	1.9	188.04	601.47	11.5	44.13	57.03
DDSHXX517289107	2	14	173	1	DDSHXX516177104	1.3	173.74	654.43	12	47.07	58.01
DDSHXX515204503	2	17	153	1	DDSHXX514048802	1.84	155.86	726.04	17.68	42.03	54.04
DDSHXX518083902	1	14	181	2	DDSHXX517086510	1.9	188.12	601.21	15.24	42.8	55.2
DDSHXX515191709	3	17	152	1	DDSHXX513019906	2.32	177.03	636.5	12.46	41.65	55.72
DDSHXX517117808	1	11	171	2	DDSHXX516116904	1.05	207.31	549.66	12.3	43.71	56.58
DDSHXX518066003	4	14	181	1	DDSHXX516041208	2.05	177.26	637.2	9.31	43.93	57.71
DDSHXX517092107	3	15	171	1	DDSHXX515154804	1.65	162.88	695.91	15.66	45.52	56.12
DDSHXX514069405	2	16	142	1	DDUSWFD13021905	2.3	156.42	720.5	9.74	40.03	56.03
DDSHXX517044908	1	16	174	2	DDSHXX516059204	1.2	208.33	546.25	17.36	42.61	54.38
DDSHXX517257002	5	16	173	2	DDSHXX515080606	1.45	198.15	573.05	9.54	45.17	58.12
DDSHXX517285703	1	17	173	1	DDSHXX516270606	1.7	168.52	672.32	10.52	47.47	58.68
DDSHXX515039301	4	16	154	1	DDUSWFD13000905	1.26	194.5	584.78	11.54	37.37	54.36
DDSHXX517239608	2	12	173	2	DDSHXX516097802	1.55	186.74	607.53	14.6	47.46	57.25
DDSHXX518212006	5	13	182	2	DDSHXX516067004	1.85	170.57	663.36	12.85	46.57	57.51
DDSHXX517157005	3	17	172	1	DDSHXX515170610	1.85	182.55	619.83	10.32	42.33	56.73
DDSHXX517249311	2	18	173	1	DDSHXX516131406	1.85	201.84	560.59	7.67	36.62	55.42
DDSHXX515013603	4	18	154	1	DDUSACS12022403	1.8	186.56	606.78	13.37	34.52	52.6
DDSHXX516253511	5	13	163	1	DDSHXX513026508	1.2	203.42	559.43	9.49	38.47	55.51
DDSHXX516103804	3	18	161	2	DDSHXX514047506	1.8	176.93	639.8	12.81	62.9	63.94
DDSHXX515013112	4	17	154	2	DDUSWFD12026809	1.48	213.94	530.62	11.17	35.88	53.9
DDSHXX516233208	2	17	163	2	DDSHXX515100810	1.65	199.43	568.37	9.53	53.48	61.39
DDSHXX517305907	5	12	174	1	DDSHXX515110906	1.7	183.8	616.43	7.82	47.52	59.65
DDSHXX515111008	4	14	151	2	DDUSWFD13060011	1.3	186.94	608.22	14.01	36.53	53.17
DDSHXX516041911	1	14	164	1	DDSHXX515010908	1.32	198.84	571.72	11.38	51.36	59.91
DDSHXX515261103	6	18	153	1	DDUSWFD13020005	1.72	165.91	682.78	14.29	43.76	55.91
DDSHXX517071403	3	14	171	1	DDSHXX515134004	1.6	164.01	691.42	12.4	52.02	59.81
DDSHXX518044602	2	16	184	2	DDSHXX516248404	1.6	187.84	603.71	13.8	38.42	53.98
DDSHXX516066807	1	13	161	1	DDSHXX515084108	2.2	159.93	705.31	13.5	44.49	56.47
DDSHXX515028604	4	17	154	2	DDUSWFD12022907	1.48	196.82	576.77	11.7	42.61	56.36
DDSHXX517261110	2	16	173	2	DDSHXX516126304	1.9	181.43	623.38	13.55	47.06	57.46
DDSHXX517090508	5	15	171	2	DDSHXX514095004	1.35	203.26	559.14	11.09	46.85	58.24
DDSHXX517063107	1	11	171	1	DDSHXX516063506	1.25	174	653.74	13.5	41.1	55.14
DDSHXX516083002	2	11	161	2	DDSHXX514161404	1.96	209	540.86	12.76	59.45	62.61
DDSHXX517045306	3	17	174	2	DDSHXX515128806	2.35	188.87	596.44	10.26	52.27	60.66
DDSHXX516209701	3	18	163	1	DDSHXX514153806	2.1	180.33	626.07	11.09	42.39	56.49
DDSHXX518199802	1	15	182	2	DDSHXX517198804	2.2	201.35	560.22	9.29	48.72	59.6
DDSHXX518094504	1	14	181	2	DDSHXX517113202	1.45	193.48	586.88	11.43	44.66	57.26
DDSHXX516124501	3	17	162	1	DDSHXX514086902	2	160.8	702.74	13.15	40.04	54.84
DDSHXX518152504	6	18	182	2	DDSHXX515142404	1.55	201.97	561.72	NA	50.45	55.74
