ind	sire	dam
DDJXXX113005771	NA	NA
DDUWFDM10022309	NA	NA
DDJXXX111005583	NA	NA
DDUSWFD07008605	NA	NA
DDJXXX113007668	NA	NA
DDJXXX114009342	NA	NA
DDUWFDM07014804	NA	NA
DDJXXX112006007	NA	NA
DDSHXX114005106	NA	NA
DDUSWFD07008711	NA	NA
DDUWFDM09023906	NA	NA
DDUSWFD10005203	NA	NA
DDUWFDM09028408	NA	NA
DDUSWFD08007109	NA	NA
DDUSWFD09014903	NA	NA
DDUSWFD10015308	NA	NA
DDUSACR10014712	NA	NA
DDUSACR09003805	NA	NA
DDUSACR10003909	NA	NA
DDUSWFD09007502	NA	NA
DDUWFDM11021808	NA	NA
DDJXXX114006242	NA	NA
DDUWFDM11022308	NA	NA
DDUWFDM10024505	NA	NA
DDSHXX114040902	NA	NA
DDJXXX110008014	NA	NA
DDJXXX113006710	NA	NA
DDJXXX114009232	NA	NA
DDUSWFD09018907	NA	NA
DDUWFDM10023907	NA	NA
DDSHXX113028302	NA	NA
DDUSACS14007606	NA	NA
DDUSACS16009009	NA	NA
DDUSACS14007605	NA	NA
DDGXRX613055402	NA	NA
DDUSACS15011101	NA	NA
DDUSACS16003801	NA	NA
DDUSACS12040605	NA	NA
DDUSACS16004003	NA	NA
DDUSACS14008410	NA	NA
DDUSACS15008104	NA	NA
DDGXRX613054006	NA	NA
DDUSACS12019810	NA	NA
DDGXRX612095411	NA	NA
DDGXRX611067205	NA	NA
DDUSACS16008506	DDUSACS14007606	DDUSACS15011101
DDUSACS17011802	DDUSACS16009009	DDUSACS16003801
DDUSACS16017708	DDUSACS14007605	DDUSACS15011101
DDUSACS16008507	DDUSACS14007606	DDUSACS15011101
DDGXRX614070002	DDGXRX613055402	DDGXRX613054006
DDUSACS13016101	DDUSACS12019810	DDUSACS12040605
DDGXRX613059908	DDGXRX612095411	DDGXRX611067205
DDUSWFD11017103	DDUWFDM10025302	DDUSWFD09003107
DDUSWFD11011602	DDUWFDM10025004	DDUSWFD09001705
DDUCBSW11000405	DDUCBSW10000402	DDUCBSW10000907
DDUCBSW11007102	DDUISGE10002912	DDUCBSW10008106
DDUWFDM11021701	DDUWFDM10022101	DDUWFDM10026204
DDUSACS12005111	DDUSACS11004606	DDUSACS10007401
DDUCBSW11006702	DDUCBSM10041704	DDUCBSW10006603
DDUSWFD11007801	DDUSWFD09000602	DDUSWFD09011706
DDUSACS15004404	DDUSACS13013606	DDUSACS13010207
DDUWFDM11028501	DDUWFDM10025302	DDUWFDM10027006
DDUSACS13009408	DDUSAIS11010203	DDUSACS12038905
DDUWFDM11022301	DDUWFDM10025301	DDUWFDM10022605
DDUWFDM11027901	DDUWFDM10023102	DDUWFDM10025306
DDUCBSW11007201	DDUCBSW09005208	DDUCBSW09002705
DDUSACS12021905	DDUSACS10009904	DDUSACS10008301
DDUSACS13009512	DDUSAIS11010203	DDUSACS13011402
DDUSACS13010409	DDUSACS11010204	DDUSACS12041406
DDUSACS16009011	DDUSACS14014109	DDUSACS15007502
DDUSWFD12004902	DDUWFDM10025302	DDUSWFD10008208
DDUSWFD12003307	DDUWFDM10025302	DDUSWFD10010303
DDUSACR11001905	DDUSACR10001404	DDUSACR09005407
DDUSACS11004803	DDUCBSW08008104	DDUSACS10001703
DDUSWFD12001507	DDUSWFD10007401	DDUSWFD10012405
DDUSWFD12002308	DDUSWFD10007401	DDUSWFD11005606
DDUSWFD11007808	DDUSWFD09000602	DDUSWFD09011706
DDUSWFD11011206	DDUWFDM10025303	DDUSWFD10008208
DDUSACS11013002	DDUSACS10010607	DDUSSTN08001303
DDUSWFD10000707	DDUSWFD08009002	DDUSWFD09017109
